date,regime_label,ae_error,llm_macro,llm_sentiment,llm_risk,v1_w_n_broad,v1_w_n_sat,v1_w_n_fi,v1_w_n_safe,v1_w_n_cash,v1_w_e_broad,v1_w_e_sat,v1_w_e_fi,v1_w_e_safe,v1_w_e_cash,v2_w_n_broad,v2_w_n_sat,v2_w_n_fi,v2_w_n_safe,v2_w_n_cash,v2_w_e_broad,v2_w_e_sat,v2_w_e_fi,v2_w_e_safe,v2_w_e_cash,v1_r_n,v1_r_e,v1_edge,v2_r_n,v2_r_e,v2_edge
2023-08-04,bull_normal,9.890667915344238,54.5,62.0,35.3,0.2,0.2,0.2,0.2,0.2,0.20087973825138442,0.15123701850027654,0.27000412404099405,0.20500441468225225,0.17287470452509263,0.2,0.2,0.2,0.2,0.2,0.1695560772199212,0.17054646296710915,0.29621448377414966,0.21368297603882003,0.15,0.0005521467731199304,0.0003777973148138879,-0.0001743494583060425,0.0005521467731199304,0.0003113371365410634,-0.00024080963657886696
2023-08-11,bull_normal,11.27982234954834,62.5,65.2,52.25,0.2,0.2,0.2,0.2,0.2,0.19269237900850084,0.15061990182917753,0.2758583291874192,0.2133516252208675,0.167477764754035,0.2,0.2,0.2,0.2,0.2,0.15233947265815606,0.16351653706757832,0.23414399027426577,0.3,0.15,-0.005741895121486953,-0.004909285319635394,0.0008326098018515589,-0.005741895121486953,-0.004569245770173744,0.001172649351313209
2023-08-18,bull_normal,15.11018180847168,61.3,63.8,55.75,0.2,0.2,0.2,0.2,0.2,0.2028117745444672,0.13768272975665763,0.2758314654146564,0.20203969287791695,0.18163433740630172,0.2,0.2,0.2,0.2,0.2,0.21297625716436394,0.22156099977942306,0.1827745213078917,0.2326882217483213,0.15,0.00035481333046462164,0.001759386246135063,0.0014045729156704414,0.00035481333046462164,-0.0009722440364119712,-0.0013270573668765929
2023-08-25,bull_normal,9.49932098388672,58.7,59.6,49.25,0.2,0.2,0.2,0.2,0.2,0.20144033465742178,0.12187929067742453,0.2857773706179294,0.2016675333746215,0.18923547067260274,0.2,0.2,0.2,0.2,0.2,0.23279491903707203,0.23238758415237157,0.15903100200025602,0.23534520472900286,0.14044129008129755,-0.002732829239407701,-0.0025754721366498313,0.00015735710275786982,-0.002732829239407701,-0.0031527071439761546,-0.0004198779045684535
2023-09-01,bull_normal,12.980344772338867,59.4,61.1,48.75,0.2,0.2,0.2,0.2,0.2,0.20266047230835055,0.12722090874336553,0.2825110537146961,0.20047503995514382,0.18713252527844412,0.2,0.2,0.2,0.2,0.2,0.21714412452460546,0.18947969499140105,0.18762389231082002,0.25575228817317347,0.15,0.0032952738817810107,0.0018202214851188179,-0.0014750523966621928,0.0032952738817810107,0.0038160625826699837,0.0005207887008889731
2023-09-08,bull_normal,14.60873317718506,54.5,56.5,52.25,0.2,0.2,0.2,0.2,0.2,0.19905352051112815,0.1152541992657454,0.29029637878539155,0.2041511596287519,0.19124474180898293,0.2,0.2,0.2,0.2,0.2,0.19351745897704156,0.17397094622716808,0.1920685812079392,0.29044301358785124,0.15,-0.005527941467880762,-0.0063003348620487435,-0.0007723933941679818,-0.005527941467880762,-0.004300941331126147,0.0012270001367546144
2023-09-15,bull_normal,8.589619636535645,55.45,58.08,51.27499999999999,0.2,0.2,0.2,0.2,0.2,0.20004508415437344,0.11487476448399468,0.29026370386345896,0.20271579716638283,0.1921006503317901,0.2,0.2,0.2,0.2,0.2,0.24219655598733472,0.24071569531461934,0.13371860110329264,0.2333691475947534,0.15,-0.0010257945577699847,-0.00045591007809261675,0.000569884479677368,-0.0010257945577699847,-0.0013198532169724656,-0.00029405865920248083
2023-09-22,bull_normal,7.492888450622559,56.5,59.9,52.25,0.2,0.2,0.2,0.2,0.2,0.20044055704982713,0.11962358388895883,0.2871095846880468,0.2030028232258709,0.18982345114729632,0.2,0.2,0.2,0.2,0.2,0.1960779114265246,0.19828758833998927,0.2535208956712168,0.2021136045622694,0.15,-0.002873442863815972,-0.00383493733430788,-0.0009614944704919083,-0.002873442863815972,-0.002745709389070681,0.00012773347474529092
2023-09-29,event_stress,29.78413200378418,68.5,68.8,47.0,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.2,0.1,0.3000000000000001,0.2,0.1999999999999999,-0.006215543710268346,-0.011309657499986643,-0.005094113789718297,-0.006215543710268346,-0.005347020844205854,0.0008685228660624926
2023-10-06,event_stress,29.78413200378418,68.44,67.78,48.075,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.2,0.1,0.3000000000000001,0.2,0.1999999999999999,-0.006215543710268346,-0.011309657499986643,-0.005094113789718297,-0.006215543710268346,-0.005347020844205854,0.0008685228660624926
