date,theta,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_event_0,w_event_1,w_event_2,w_event_3,w_event_4,w_event_5,w_event_6,w_event_7,w_fused_0,w_fused_1,w_fused_2,w_fused_3,w_fused_4,w_fused_5,w_fused_6,w_fused_7
2025-02-07,1.822895884513855,15.0,12.766868591308594,bull_normal,69.5,65.8,47.0,0.024478120154458563,0.024478120154458563,0.02447812012998044,0.0,0.22334645222148644,0.34423930526493657,0.16750983916611484,0.080831229784825,0.056806571265647046,0.05410656477489671,0.03985273048489735,0.033307307037196046,0.22334645199813996,0.3442393049206972,0.167509838998605,0.08083122970399377,0.05680657120884047,0.054106564720790146,0.039852730445044615,0.03330730700388874
2025-02-14,1.9583482146263123,15.0,21.88327980041504,event_stress,65.0,63.0,42.5,0.0027943276472066556,0.0027943276472066556,0.002794327644412328,0.0,0.26489296588507383,0.40000000085308385,0.1986697244138054,0.0671525767473414,0.020566799245286187,0.01989776993911873,0.014923327454339046,0.013896835461951512,0.26489296562018083,0.4000000004530838,0.19866972421513565,0.06715257668018881,0.020566799224719386,0.01989776991922096,0.014923327439415717,0.013896835448054675
2025-02-21,1.9880253672599792,15.0,28.244722366333008,event_stress,68.3,64.3,42.95,0.014025036822025437,0.014025036822025437,0.014025036808000402,0.0,0.2828702909884261,0.40000000068954317,0.21215271824131965,0.061376831678045925,0.012745305262619598,0.012503095645313798,0.00937732173398535,0.008974435760746354,0.28287029070555586,0.40000000028954324,0.21215271802916696,0.061376831616669104,0.012745305249874295,0.012503095632810704,0.009377321724608029,0.00897443575177192
2025-02-28,1.9843345284461975,15.0,26.10434341430664,event_stress,70.6,66.6,42.449999999999996,-0.0133954614457594,-0.0133954614457594,-0.01339546143236394,0.0,0.27764434100998736,0.4000000005946372,0.20823325575749047,0.06325055647871743,0.01501853727421414,0.01461217755380256,0.01095913316535192,0.010281998165798953,0.277644340732343,0.40000000019463716,0.2082332555492572,0.06325055641546687,0.015018537259195601,0.01461217753919038,0.010959133154392786,0.010281998155516954
2025-03-07,1.901845097541809,15.0,14.623218536376953,bull_normal,71.4,65.7,55.75,0.001033744708623202,0.001033744708623202,0.0010337447075894576,0.0,0.2187230166208612,0.40000000061527247,0.16404226246564588,0.07908593948196237,0.04247569240790723,0.04036642942663895,0.0302748220699792,0.025031836911732726,0.21872301640213815,0.40000000021527243,0.1640422623016036,0.07908593940287642,0.042475692365431535,0.040366429386272516,0.030274822039704375,0.025031836886700888
2025-03-14,1.9652720093727112,15.0,21.11408805847168,event_stress,69.9,66.2,47.75,0.009161540388099148,0.009161540388099148,0.009161540378937605,0.0,0.2598741023009261,0.40000000091233945,0.19490557672569464,0.06954253910993928,0.022708691387748434,0.021850238843688825,0.016387679132766626,0.014731171586896762,0.25987410204105194,0.4000000005123393,0.194905576530789,0.06954253904039671,0.022708691365039734,0.02185023882183858,0.016387679116378943,0.014731171572165585
2025-03-21,1.946143925189972,15.0,19.42805290222168,event_stress,68.0,59.5,52.75,-0.01683953788655906,-0.01683953788655906,-0.016839537869719524,0.0,0.25423937401689345,0.4000000007236094,0.19067953051267003,0.0719279229049436,0.024740375811447,0.024042280453500847,0.01803171034012564,0.01633880523680998,0.2542393737626541,0.4000000003236095,0.19067953032199053,0.07192792283301569,0.024740375786706625,0.02404228042945857,0.01803171032209393,0.016338805220471177
2025-03-28,1.8274210095405579,15.0,14.109771728515625,bull_normal,70.1,63.5,40.75,-0.006720284565496861,-0.006720284565496861,-0.006720284558776578,0.0,0.23241710321527365,0.3458636017185725,0.1743128274114552,0.07771406031683747,0.052423747393165965,0.04892249569600942,0.036691871772007056,0.03165429247667877,0.23241710298285653,0.3458636013727089,0.17431282723714236,0.0777140602391234,0.05242374734074221,0.04892249564708692,0.036691871735315185,0.031654292445024476
2025-04-04,1.9737821817398071,15.0,17.260820388793945,event_stress,65.0,57.0,38.75,0.0025145455325156028,0.0025145455325156028,0.0025145455300010578,0.0,0.2464342476160228,0.398469806581261,0.18482568571201707,0.06823166308346854,0.030609041110236757,0.02921804035552403,0.02191353026664302,0.02029798527482682,0.24643424736958855,0.3984698061827912,0.18482568552719136,0.06823166301523687,0.030609041079627714,0.02921804032630599,0.021913530244729487,0.020297985254528833
2025-04-11,1.9681829810142517,15.0,11.621089935302734,bull_normal,70.6,74.1,42.7,-0.012484520291574508,-0.012484520291574508,-0.012484520279089988,0.0,0.2140145262873551,0.324654235131453,0.1605108947155163,0.07999996147533843,0.07054509228284755,0.06562232556579284,0.04767411489796358,0.03697884964373328,0.21401452607334054,0.3246542348067987,0.1605108945550054,0.07999996139533846,0.07054509221230246,0.06562232550017051,0.04767411485028946,0.03697884960675443
2025-04-18,1.9946573972702026,15.0,19.801822662353516,event_stress,71.64000000000001,72.42,42.8,-0.003810784457602846,-0.003810784457602846,-0.003810784453792062,0.0,0.2515439763404659,0.4000000006692298,0.18865798225534944,0.07019486798980266,0.027462916865429968,0.025894029889678566,0.019420522417258928,0.016825703572784748,0.25154397608892193,0.4000000002692299,0.1886579820666915,0.0701948679196078,0.027462916837967054,0.02589402986378454,0.019420522397838407,0.016825703555959047
2025-04-25,1.998492956161499,15.0,28.35647964477539,event_stress,61.2,55.6,51.2,0.003296632922355653,0.003296632922355653,0.0032966329190590193,0.0,0.2847542300699765,0.4000000007389825,0.2135656725524824,0.061337082409466226,0.01164933712004833,0.011562379852086184,0.008671784889064636,0.008459512367893213,0.28475422978522225,0.4000000003389825,0.2135656723389167,0.06133708234812914,0.011649337108398992,0.011562379840523803,0.00867178488039285,0.0084595123594337
2025-05-02,1.9966002702713013,15.0,23.643070220947266,event_stress,62.64000000000001,57.27,53.199999999999996,-0.012474566476365776,-0.012474566476365776,-0.01247456646389121,0.0,0.2739560468890441,0.4000000005571285,0.20546703516678314,0.06632822395343375,0.015813319618505156,0.015603645648720252,0.011702734236540186,0.011128993929844885,0.2739560466150881,0.40000000015712855,0.20546703496131613,0.06632822388710553,0.01581331960269184,0.015603645633116609,0.011702734224837454,0.011128993918715894
2025-05-09,1.9982523918151855,15.0,27.61412239074707,event_stress,68.0,65.2,42.5,0.011310904349748381,0.011310904349748381,0.011310904338437476,0.0,0.2819687274017223,0.4000000006728939,0.2114765455512916,0.06170227772500039,0.013141944075189343,0.012865492575141222,0.009649119431355916,0.009195892567405372,0.28196872711975357,0.40000000027289384,0.21147654533981505,0.06170227766329811,0.013141944062047398,0.012865492562275729,0.009649119421706796,0.009195892558209478
2025-05-16,1.9991575479507446,15.0,31.062053680419922,event_stress,67.52000000000001,65.12,45.05,0.0030736194770013027,0.0030736194770013027,0.003073619473927684,0.0,0.28747491747980414,0.40000000081371134,0.21560618810985305,0.05960452550894297,0.010835900531059558,0.01069417278383845,0.008020629587878835,0.007763665184911593,0.28747491719232926,0.4000000004137114,0.2156061878942469,0.059604525449338454,0.01083590052022366,0.01069417277314428,0.008020629579858206,0.0077636651771479295
2025-05-23,1.9937087893486023,15.0,21.5279541015625,event_stress,66.0,65.5,42.5,0.00331193781232044,0.00331193781232044,0.003311937809008502,0.0,0.2638904446529038,0.4000000008829872,0.19791783348967784,0.06743487552956447,0.021139523865037986,0.020346171390873597,0.015259628543155197,0.014011521645799935,0.2638904443890134,0.4000000004829873,0.19791783329176005,0.0674348754621296,0.021139523843898465,0.020346171370527428,0.01525962852789557,0.014011521631788416
2025-05-30,1.9655587077140808,15.0,13.998858451843262,bull_normal,66.02000000000001,66.79,41.9,-0.002016666978053367,-0.002016666978053367,-0.0020166669760367,0.0,0.22955270908559847,0.36463522503130086,0.1721645318141988,0.07709774308113894,0.048533449343581475,0.045185593874227596,0.033889195405670695,0.028941552364283207,0.22955270885604573,0.3646352246666656,0.17216453164203427,0.0770977430040412,0.04853344929504802,0.045185593829042,0.0338891953717815,0.028941552335341653
2025-06-06,1.9596065282821655,15.0,14.363164901733398,bull_normal,61.2,66.4,39.25,0.012317505574617076,0.012317505574617076,0.012317505562299573,0.0,0.23560304344399946,0.36377537839181123,0.17670228258299958,0.07658169050620767,0.04518301942967927,0.04232755781368138,0.03174566836026103,0.0280813594713605,0.2356030432083964,0.36377537802803583,0.1767022824062973,0.07658169042962597,0.045183019384496245,0.04232755777135382,0.03174566832851536,0.02808135944327914
2025-06-13,1.9288047552108765,15.0,10.996870040893555,bull_normal,62.3,60.0,52.25,0.0029082429621199763,0.0029082429621199763,0.0029082429592117323,0.0,0.22013057276459402,0.353624593148056,0.1650979295734455,0.08510475239142154,0.0532443907232912,0.05112447053609816,0.038343352902073614,0.033329937961020024,0.22013057254446344,0.35362459279443137,0.16509792940834755,0.08510475230631678,0.053244390670046805,0.051124470484973684,0.03834335286373026,0.03332993792769008
