date,theta,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2024-01-26,1.6258305311203003,15.0,18.67559814453125,event_stress,60.5,63.0,52.5,-0.00021477595614325886,-0.00021477595614325886,-0.00021477595592848286,0.5612805123677135,0.05917920814729535,0.06758302552547832,0.27466270392332215,0.3985750618403163,0.2000000005635879,0.059179208088116136,0.06758302545789528,0.2746627036486594,0.3985750614417412,0.2000000003635879
2024-02-02,1.514085292816162,15.0,15.84172248840332,event_stress,54.0,59.3,50.25,0.0008657455463858646,0.0008657455463858646,0.000865745545520119,0.532420509979264,0.08132401129399386,0.08581234556694413,0.2609895494005028,0.37187409297132806,0.20000000076723118,0.08132401121266984,0.08581234548113177,0.2609895491395132,0.3718740925994539,0.20000000056723116
2024-02-09,1.8801114559173584,15.0,34.72543716430664,event_stress,66.5,68.1,44.25,0.0003118658225023445,0.0003118658225023445,0.0003118658221904784,0.7759038322745907,0.06869663540648746,0.02325138067611184,0.3080519829917446,0.40000000061710417,0.20000000030855208,0.06869663533779082,0.023251380652860455,0.30805198268369255,0.40000000021710413,0.20000000010855207
2024-02-16,1.8667982816696167,15.0,34.72543716430664,event_stress,53.0,55.0,40.75,0.0002830623699022314,0.0002830623699022314,0.000283062369619169,0.9999129894616793,0.06793653893012241,0.02290798837774477,0.3091554712120921,0.40000000098669375,0.20000000049334687,0.06793653886218588,0.022907988354836786,0.30915547090293666,0.4000000005866938,0.2000000002933469
2024-02-23,1.8510499596595764,15.0,31.359092712402344,event_stress,65.3,61.3,47.5,0.0013112198960096243,0.0013112198960096243,0.001311219894698404,1.0,0.06819281119919977,0.026704659751969628,0.3051025281481184,0.4000000006004749,0.20000000030023746,0.06819281113100696,0.026704659725264965,0.30510252784301584,0.4000000002004749,0.20000000010023744
2024-03-01,1.7573428750038147,15.0,24.144302368164062,event_stress,65.8,61.029999999999994,49.449999999999996,0.0038435876324924554,0.0038435876324924554,0.0038435876286488676,0.9068749661134047,0.05869234110730798,0.042844196725848535,0.2984634609714235,0.40000000079694664,0.20000000039847332,0.058692341048615634,0.042844196683004335,0.29846346067296003,0.4000000003969466,0.2000000001984733
2024-03-08,1.8621414303779602,15.0,34.14191436767578,event_stress,63.7,64.8,37.75,0.018184007769007995,0.018184007769007995,0.018184007750823985,0.905934656956474,0.06903070861846218,0.024231519680169452,0.30673777075917247,0.4000000006281306,0.2000000003140653,0.06903070854943147,0.02423151965593793,0.30673777045243467,0.4000000002281306,0.2000000001140653
2024-03-15,1.5398035645484924,15.0,16.96316146850586,event_stress,63.410000000000004,63.2,38.35,-0.0018942402243558416,-0.0018942402243558416,-0.0018942402224616012,0.8421864558636628,0.09094636261212341,0.08714424287869722,0.25108265747362835,0.37082673639541636,0.20000000064013462,0.09094636252117703,0.08714424279155297,0.2510826572225457,0.3708267360245896,0.2000000004401346
2024-03-22,1.5213687419891357,15.0,16.277950286865234,event_stress,58.7,60.2,50.75,0.0034882146369987757,0.0034882146369987757,0.0034882146335105603,0.7110155550722855,0.08407427229850507,0.08232259431419492,0.24415034012825393,0.3894527924041017,0.2000000008549444,0.0840742722144308,0.08232259423187231,0.24415033988410356,0.3894527920146489,0.2000000006549444
2024-03-29,1.7428792119026184,15.0,25.489974975585938,event_stress,60.7,58.8,49.25,0.007260895581771673,0.007260895581771673,0.007260895574510779,0.7861664054949914,0.06402659925339142,0.03946030333397711,0.29651309625522093,0.40000000077160697,0.20000000038580348,0.06402659918936483,0.039460303294516816,0.2965130959587079,0.40000000037160705,0.20000000018580352
2024-04-05,1.688978672027588,15.0,23.560142517089844,event_stress,57.5,62.0,40.75,0.015076787696278513,0.015076787696278513,0.01507678768120173,0.8594511345990604,0.05988407714783608,0.04761686821928639,0.2924990532735632,0.4000000009062095,0.20000000045310476,0.05988407708795201,0.047616868171669526,0.29249905298106416,0.4000000005062096,0.2000000002531048
2024-04-12,1.7581009268760681,15.0,27.169830322265625,event_stress,59.2,61.8,37.75,0.01698311906125253,0.01698311906125253,0.016983119044269405,0.8919118274087586,0.06305856611012899,0.03615208976306614,0.3007893430492721,0.4000000007183552,0.2000000003591776,0.06305856604707041,0.03615208972691405,0.3007893427484827,0.40000000031835514,0.20000000015917757
2024-04-19,1.6694700121879578,15.0,21.603342056274414,event_stress,61.4,62.27,40.05,-0.00109797622377446,-0.00109797622377446,-0.0010979762226764839,0.8688637224713481,0.05883472724457001,0.056796510505252445,0.2843687610351757,0.40000000081000114,0.20000000040500057,0.05883472718573529,0.05679651044845594,0.284368760750807,0.4000000004100012,0.2000000002050006
2024-04-26,1.7201029658317566,15.0,23.49871063232422,event_stress,62.0,63.0,47.25,-0.010538990687340606,-0.010538990687340606,-0.01053899067680162,0.9267390550452745,0.06237357200026345,0.04692597925947365,0.29070044771925263,0.4000000006806735,0.20000000034033674,0.062373571937889886,0.04692597921254768,0.2907004474285522,0.40000000028067356,0.20000000014033678
2024-05-03,1.8922584056854248,15.0,38.07362747192383,event_stress,63.92,64.95,46.449999999999996,-0.006162240057151132,-0.006162240057151132,-0.006162240050988892,1.0,0.07111095637022807,0.021030442794412352,0.3078585997901722,0.40000000069679165,0.20000000034839582,0.07111095629911711,0.021030442773381907,0.3078585994823136,0.4000000002967916,0.2000000001483958
2024-05-10,1.7155539393424988,15.0,23.418354034423828,event_stress,61.5,59.8,43.55,0.008193374477242329,0.008193374477242329,0.008193374469048954,0.8654101327992975,0.061296197881210365,0.047098539784616665,0.29160526140206267,0.40000000062140684,0.20000000031070342,0.06129619781991416,0.047098539737518125,0.29160526111045737,0.4000000002214068,0.2000000001107034
2024-05-17,1.429626613855362,15.0,13.979268074035645,bull_normal,59.6,63.3,45.2,0.0023336229800527564,0.0023336229800527564,0.002333622977719134,0.7474360452104373,0.11306043051379812,0.10987053547171179,0.23951319682577862,0.3375558365500085,0.20000000063870293,0.11306043040073771,0.10987053536184127,0.23951319658626546,0.33755583621245266,0.20000000043870297
2024-05-24,1.577807366847992,15.0,17.988637924194336,event_stress,61.5,61.0,47.25,-0.0062239260187933396,-0.0062239260187933396,-0.006223926012569414,0.7478565255356454,0.07488323262739828,0.07291241558627352,0.25220435033794747,0.4000000009655872,0.2000000004827936,0.07488323255251504,0.0729124155133611,0.2522043500857431,0.40000000056558715,0.20000000028279358
2024-05-31,1.2613702714443207,15.0,10.14683723449707,bull_normal,57.5,57.7,45.5,-0.0026884765578950144,-0.0026884765578950144,-0.0026884765552065374,0.6492126539983226,0.14540040016984176,0.14150123163468994,0.2297662576783434,0.2833321100871646,0.2000000004299603,0.14540040002444135,0.1415012314931887,0.22976625744857712,0.28333210980383244,0.20000000022996028
2024-06-07,1.3627889752388,15.0,13.17904281616211,bull_normal,57.3,66.4,44.25,0.0022069404568366862,0.0022069404568366862,0.002206940454629746,0.5601633925810245,0.1244310152346977,0.11985300602150128,0.23316871169522826,0.3225472664240554,0.20000000062451728,0.1244310151102667,0.1198530059016483,0.23316871146205959,0.3225472661015082,0.20000000042451732
2024-06-14,1.4664108157157898,15.0,14.338066101074219,bull_normal,63.2,56.3,51.25,-0.009022928184517921,-0.009022928184517921,-0.009022928175494995,0.5402658516203467,0.10202453394542212,0.09967632023410909,0.24077398112827259,0.35752516399231815,0.200000000699878,0.1020245338433976,0.09967632013443278,0.24077398088749863,0.35752516363479303,0.20000000049987804
2024-06-21,1.5221226215362549,15.0,17.327558517456055,event_stress,57.3,61.8,50.75,0.0008081683316345052,0.0008081683316345052,0.0008081683308263363,0.5542870434357272,0.07752704804482087,0.07601525908180201,0.2464576916633592,0.40000000080667864,0.20000000040333932,0.07752704796729382,0.07601525900578675,0.2464576914169015,0.4000000004066786,0.2000000002033393
2024-06-28,1.7185079455375671,15.0,25.482322692871094,event_stress,59.5,60.0,37.25,-3.169360242100875e-05,-3.169360242100875e-05,-3.1693602389315895e-05,0.6432783315994354,0.06190536827334566,0.04146346161837765,0.29663116912590043,0.4000000006549175,0.20000000032745874,0.061905368211440284,0.04146346157691418,0.2966311688292692,0.40000000025491744,0.20000000012745872
2024-07-05,1.5402344465255737,15.0,17.7886905670166,event_stress,64.8,66.0,36.25,-0.0009137499276459811,-0.0009137499276459811,-0.0009137499267322309,0.6171419848950059,0.08771575440364018,0.08371600878052474,0.251098963272486,0.3774692729083134,0.20000000063503576,0.08771575431592442,0.08371600869680872,0.251098963021387,0.3774692725308441,0.20000000043503574
2024-07-12,1.634470522403717,15.0,20.161067962646484,event_stress,63.7,60.6,45.75,-0.001244762172206795,-0.001244762172206795,-0.001244762170962033,0.6380555281676606,0.057105161597832514,0.06238438503685823,0.2805104524304708,0.40000000062322566,0.20000000031161283,0.057105161540727346,0.06238438497447384,0.28051045214996034,0.4000000002232256,0.2000000001116128
2024-07-19,1.520828127861023,15.0,15.781641006469727,event_stress,65.22,61.02,48.05,0.00013023394134990392,0.00013023394134990392,0.0001302339412196697,0.6835396108283606,0.09446754077822246,0.09132179909368207,0.24145842439163967,0.37275223504797,0.20000000068848586,0.09446754068375492,0.09132179900236026,0.24145842415018123,0.37275223467521773,0.20000000048848585
2024-07-26,1.4345276653766632,15.0,14.253905296325684,bull_normal,59.6,59.2,39.5,-0.0025899433092231726,-0.0025899433092231726,-0.0025899433066332296,0.7962089972431403,0.11092192076913182,0.11160823057621934,0.25648379547611305,0.3209860527066775,0.20000000047185829,0.1109219206582099,0.1116082304646111,0.2564837952196292,0.32098605238569144,0.20000000027185827
2024-08-02,1.4325680136680603,15.0,13.373557090759277,bull_normal,60.8,59.7,42.4,0.005881862787990503,0.005881862787990503,0.005881862782108639,0.7684372840181608,0.11805587748460859,0.11688839311606952,0.2468312224523363,0.3182245064676854,0.2000000004793001,0.11805587736655271,0.11688839299918112,0.24683122220550505,0.31822450614946085,0.2000000002793001
2024-08-09,1.4343957006931305,15.0,13.455743789672852,bull_normal,59.7,59.3,47.25,-0.012116023538536956,-0.012116023538536956,-0.012116023526420931,0.6865949433353359,0.11312868189765508,0.10993182428234141,0.23963854406482255,0.33730094909901026,0.20000000065617063,0.1131286817845264,0.10993182417240958,0.23963854382518399,0.3373009487617093,0.2000000004561706
2024-08-16,1.439598172903061,15.0,13.440649032592773,bull_normal,62.2,60.8,44.25,-0.004246682760856296,-0.004246682760856296,-0.004246682756609613,0.6605751022979656,0.11910000915040256,0.11465189462670682,0.2383568929462715,0.3278912027285152,0.20000000054810396,0.11910000903130254,0.11465189451205492,0.23835689270791457,0.32789120240062397,0.20000000034810395
2024-08-23,1.2443672865629196,15.0,8.606009483337402,bull_normal,62.7,60.95,45.55,0.0026279414914776745,0.0026279414914776745,0.0026279414888497332,0.6113836722030503,0.1656720743203759,0.15903938567148876,0.2142063993576072,0.261082139697243,0.2000000009532851,0.16567207415470384,0.1590393855124494,0.21420639914340084,0.2610821394361609,0.20000000075328514
2024-08-30,1.5600266456604004,15.0,18.099489212036133,event_stress,59.3,59.5,45.25,0.00021722617769421638,0.00021722617769421638,0.0002172261774769898,0.6698485039635433,0.073970193780132,0.07218875915004455,0.25384104568311167,0.4000000009244746,0.2000000004622373,0.0739701937061618,0.07218875907785578,0.2538410454292706,0.40000000052447454,0.20000000026223727
2024-09-06,1.5806403160095215,15.0,18.387165069580078,event_stress,60.55,60.45,44.449999999999996,0.005172808264607333,0.005172808264607333,0.0051728082594345234,0.7452364878275665,0.07303477252236419,0.07107455824396647,0.2558906678070941,0.4000000009510502,0.2000000004755251,0.07303477244932942,0.0710745581728919,0.2558906675512034,0.40000000055105017,0.20000000027552509
2024-09-13,1.3388923108577728,15.0,11.201461791992188,bull_normal,59.2,59.7,52.25,0.0004924904868103433,0.0004924904868103433,0.0004924904863178528,0.6836448049385059,0.13001645237781512,0.1270368903958128,0.22697479439336157,0.31597186221131257,0.20000000062169798,0.13001645224779865,0.1270368902687759,0.22697479416638677,0.31597186189534066,0.20000000042169797
2024-09-20,1.5662553906440735,15.0,17.48356819152832,event_stress,64.0,62.0,42.25,0.002605071605751181,0.002605071605751181,0.0026050716031461095,0.6433264087984877,0.08259003522393217,0.0796041114146597,0.2497734260928198,0.38803242656972714,0.20000000069886126,0.08259003514134212,0.07960411133505559,0.24977342584304635,0.3880324261816947,0.20000000049886124
2024-09-27,1.9868360757827759,15.0,260.9962463378906,event_stress,66.5,64.5,43.75,0.0018448503463125191,0.0018448503463125191,0.00184485034446767,1.0,0.07439897469543365,0.01573497573426745,0.30986604836232423,0.40000000080531645,0.20000000040265822,0.07439897462103469,0.01573497571853248,0.3098660480524582,0.4000000004053165,0.20000000020265826
2024-10-04,1.9863327741622925,15.0,614.296875,event_stress,63.0,63.5,48.5,-0.0008237744038063085,-0.0008237744038063085,-0.0008237744029825364,1.0,0.07438916238175852,0.01574675920679699,0.30986407720395565,0.40000000080499265,0.20000000040249633,0.07438916230736935,0.015746759191050227,0.30986407689409157,0.4000000004049926,0.2000000002024963
2024-10-11,1.9863271117210388,15.0,161.60044860839844,event_stress,62.8,64.0,38.0,-0.0014779077244558966,-0.0014779077244558966,-0.0014779077229779888,0.8376073164670388,0.07438905174519153,0.015746892010042042,0.30986405503728304,0.400000000804989,0.2000000004024945,0.07438905167080247,0.01574689199429515,0.30986405472741896,0.40000000040498895,0.20000000020249448
2024-10-18,1.9821014404296875,15.0,100.46243286132812,event_stress,66.0,59.0,42.5,0.006911062202898748,0.006911062202898748,0.006911062195987685,0.7140121868895781,0.07430613337435214,0.015846790720001433,0.3098470747022683,0.4000000008022522,0.2000000004011261,0.074306133300046,0.01584679070415464,0.3098470743924212,0.40000000040225214,0.20000000020112607
2024-10-25,1.9672346115112305,15.0,64.41007995605469,event_stress,67.6,64.7,48.75,-0.004838556968164055,-0.004838556968164055,-0.0048385569633255,0.599835319691338,0.07397206993004839,0.01628097082277393,0.30974695806033875,0.40000000079122594,0.20000000039561297,0.07397206985607632,0.01628097080649296,0.30974695775059186,0.400000000391226,0.200000000195613
2024-11-01,1.8453500270843506,15.0,30.276988983154297,event_stress,67.34,64.62,48.849999999999994,0.003498066192322286,0.003498066192322286,0.0034980661888242195,0.5054286632803955,0.0682040961491018,0.028415875480307825,0.3033800274693194,0.4000000006008473,0.20000000030042364,0.06820409608089771,0.028415875451891948,0.30338002716593937,0.40000000020084725,0.20000000010042362
2024-11-08,1.425019919872284,15.0,12.932819366455078,bull_normal,62.5,61.2,42.25,0.0014458458781845258,0.0014458458781845258,0.0014458458767386798,0.47418547366885366,0.12471776131082944,0.12323775821185042,0.24257536429966875,0.30946911577370834,0.20000000040394325,0.12471776118611164,0.12323775808861262,0.24257536405709332,0.3094691154642391,0.20000000020394318
2024-11-15,1.7647494077682495,15.0,26.15738296508789,event_stress,61.95,60.9,42.849999999999994,-0.008975909372407598,-0.008975909372407598,-0.008975909363431692,0.4479182728689339,0.06076531099088145,0.0376155211089237,0.3016191664196882,0.4000000009870044,0.2000000004935022,0.06076531093011615,0.03761552107130819,0.3016191661180691,0.40000000058700447,0.20000000029350223
2024-11-22,1.5805601477622986,15.0,18.60196304321289,event_stress,59.0,58.0,36.25,0.008704224622495562,0.008704224622495562,0.008704224613791337,0.444172563811978,0.07328620732803978,0.07105211278858403,0.26159652026490837,0.39406515889489296,0.2000000007235749,0.07328620725475357,0.07105211271753191,0.26159652000331185,0.3940651585008278,0.2000000005235749
2024-11-29,1.5958424806594849,15.0,17.544212341308594,event_stress,65.3,60.0,47.0,-0.0021321832578772245,-0.0021321832578772245,-0.002132183255745041,0.3921013412872474,0.07749714582837085,0.0751081279007011,0.24739472492914338,0.40000000089452314,0.20000000044726157,0.0774971457508737,0.07510812782559297,0.24739472468174864,0.4000000004945231,0.20000000024726156
2024-12-06,1.4804021716117859,15.0,13.8783597946167,bull_normal,67.05,63.6,46.5,-0.0029640657789217844,-0.0029640657789217844,-0.0029640657759577188,0.36479780764793573,0.11717866029934064,0.11199178992019675,0.2321766679135036,0.33865288134330496,0.20000000052365396,0.117178660182162,0.11199178980820497,0.23217666768132697,0.33865288100465213,0.200000000323654
2024-12-13,1.6676971912384033,15.0,20.8692684173584,event_stress,66.0,68.1,44.0,0.011128112213561562,0.011128112213561562,0.011128112202433448,0.40177646561040187,0.06387595885336848,0.06168071701213997,0.274443322949542,0.40000000078996634,0.20000000039498317,0.06387595878949252,0.06168071695045925,0.27444332267509863,0.4000000003899663,0.20000000019498315
2024-12-20,1.5604164600372314,15.0,16.56230354309082,event_stress,66.8,66.2,47.25,-0.0034560993675026787,-0.0034560993675026787,-0.00345609936404658,0.3656894448700112,0.09018052946684607,0.08650052940251739,0.2381961629625087,0.38512277747488893,0.20000000069323887,0.09018052937666556,0.08650052931601687,0.23819616272431257,0.3851227770897662,0.2000000004932389
2024-12-27,1.426836758852005,15.0,13.134681701660156,bull_normal,60.5,61.4,52.75,0.00013238728135847643,0.00013238728135847643,0.00013238728122608913,0.32515550853179936,0.11276457624907921,0.10991587203430377,0.2312832246312915,0.34603632635886905,0.2000000007264564,0.11276457613631465,0.10991587192438791,0.2312832244000083,0.3460363260128328,0.20000000052645645
